ibm_job_role,employee_count,onet_soc_code,onet_title,match_confidence,top5_essential_skills,top5_software_tools
Healthcare Representative,131,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,Active Listening (3.88) | Speaking (3.88) | Reading Comprehension (3.62) | Writing (3.38) | Active Learning (3.38),Apple macOS | HubSpot software | IBM SPSS Statistics | Microsoft Excel | Microsoft Office software
Human Resources,52,13-1071.00,Human Resources Specialists,medium,Speaking (4.12) | Reading Comprehension (4.0) | Active Listening (4.0) | Writing (3.88) | Critical Thinking (3.88),Adobe Acrobat | Adobe Creative Cloud software | Adobe Illustrator | Adobe InDesign | Adobe Photoshop
Laboratory Technician,259,29-2012.00,Medical and Clinical Laboratory Technicians,medium,Reading Comprehension (3.75) | Active Listening (3.62) | Critical Thinking (3.25) | Speaking (3.12) | Science (3.0),Google Docs | MEDITECH software | Microsoft Excel | Microsoft Office software | Microsoft Outlook
Manager,102,11-9199.00,"Managers, All Other",very_low,Insufficient mapping confidence (very_low) — use Department-level analysis instead (see Step 12). O*NET skill data for this role is not reliable.,Insufficient mapping confidence (very_low) — use Department-level analysis instead (see Step 12). O*NET skill data for this role is not reliable.
Manufacturing Director,145,11-3051.00,Industrial Production Managers,low,Critical Thinking (4.0) | Speaking (4.0) | Monitoring (4.0) | Reading Comprehension (3.88) | Active Listening (3.88),Adobe Acrobat | Adobe After Effects | Adobe InDesign | Adobe Photoshop | Autodesk AutoCAD
Research Director,80,11-9121.00,Natural Sciences Managers,low,Science (4.12) | Reading Comprehension (4.0) | Active Listening (4.0) | Critical Thinking (4.0) | Monitoring (4.0),Adobe Acrobat | Adobe Photoshop | ESRI ArcGIS software | IBM SPSS Statistics | Microsoft Access
Research Scientist,292,15-1221.00,Computer and Information Research Scientists,medium,Critical Thinking (4.0) | Reading Comprehension (3.75) | Active Listening (3.75) | Speaking (3.5) | Active Learning (3.5),Amazon DynamoDB | Amazon Elastic Compute Cloud EC2 | Amazon Redshift | Amazon Web Services AWS CloudFormation | Amazon Web Services AWS software
Sales Executive,326,11-2022.00,Sales Managers,low,Active Listening (4.0) | Speaking (4.0) | Reading Comprehension (3.88) | Critical Thinking (3.88) | Monitoring (3.88),Adobe Acrobat | Adobe Creative Cloud software | Bentley MicroStation | Eclipse IDE | Facebook
Sales Representative,83,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,Active Listening (3.88) | Speaking (3.88) | Reading Comprehension (3.62) | Writing (3.38) | Active Learning (3.38),Apple macOS | HubSpot software | IBM SPSS Statistics | Microsoft Excel | Microsoft Office software
